t,acc[0],acc[1],acc[2],speed[0],speed[1],speed[2],pos[0],pos[1],pos[2],omegadot[0],omegadot[1],omegadot[2],omega[0],omega[1],omega[2],q[0],q[1],q[2],q[3],forces[0],forces[1],forces[2],torque[0],torque[1],torque[2]
4.264995813369751,0.0,0.0,-9.81,1.0,0.0,-41.83960892915726,4.264995813369751,0.0,-91.47949610643293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.315022945404053,0.0,0.0,-9.81,1.0,0.0,-42.33037509441376,4.315022945404053,0.0,-93.59716337034268,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.365043640136719,0.0,0.0,-9.81,1.0,0.0,-42.821078109741215,4.365043640136719,0.0,-95.7391034465937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.414973974227905,0.0,0.0,-9.81,1.0,0.0,-43.310894687175754,4.414973974227905,0.0,-97.90163088811258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.464951753616333,0.0,0.0,-9.81,1.0,0.0,-43.80117670297623,4.464951753616333,0.0,-100.09071643432746,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.514987230300903,0.0,0.0,-9.81,1.0,0.0,-44.292024729251864,4.514987230300903,0.0,-102.30688900498035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.548684358596802,0.0,0.0,-9.81,1.0,0.0,-44.62259355783463,4.548684358596802,0.0,-103.81054226499444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.598081111907959,0.0,0.0,-9.81,1.0,0.0,-45.10717570781708,4.598081111907959,0.0,-106.0386902959965,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.64831018447876,0.0,0.0,-9.81,1.0,0.0,-45.599922909736634,4.64831018447876,0.0,-108.32913213305258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.698373556137085,0.0,0.0,-9.81,1.0,0.0,-46.09104458570481,4.698373556137085,0.0,-110.63660522826716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.748288154602051,0.0,0.0,-9.81,1.0,0.0,-46.58070679664612,4.748288154602051,0.0,-112.96166250423606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
